ps_id	title	organisation	ministry	category	theme	description_short
26018	Intelligent Land Record Digitization and Validation System	Ministry of Rural Development	Dept of land resources (DoLR)	Software	Smart Automation	Background: Land records form the backbone of land administration, property ownership, taxation, land acquisition, dispute resolution, and infrastructure planning. Across India, a significant portion
26019	National Digital Platform for Research, Policy Innovation, and Evidence-Based Land Governance	Ministry of Rural Development	Dept of land resources (DoLR)	Software	Smart Automation	Background: Land is a finite and strategic resource that underpins economic development, environmental sustainability, food security, urban expansion, and social equity. Effective land governance is
26020	Design and Development of Innovative Hand-Spinning Equipment for Enhancing Khadi Artisan Productivity and Income	Ministry of MSME	Coordination Section	Hardware	Agriculture, FoodTech & Rural Development	Background: Khadi is a sustainable rural textile system based on hand-spun yarn and hand-woven fabric produced by decentralized artisans using manually operated Charkhas like the New Model Charkha.
26021	Honey Chain: A block chain-based system for honey traceability and smart beekeeping management.	Ministry of MSME	Coordination Section	Software	Agriculture, FoodTech & Rural Development	Background: KVICâ€™s Honey Mission supports rural beekeepers with bee boxes and extraction toolkits for livelihood promotion, but they still face challenges like counterfeit honey, low consumer
26022	Design and develop a smart, solar-powered drying and compact packaging system to support home-based agarbatti manufacturing by rural women artisans.	Ministry of MSME	Coordination Section	Hardware	Agriculture, FoodTech & Rural Development	Background: Agarbatti making is a key home-based livelihood for rural women, but traditional drying methods depend on weather and often cause uneven drying, moisture issues, and loss of fragrance,
26023	AI-Powered Geological, Mining and other Reporting Solution for CMPDI/CIL subsidiaries	Ministry of Coal	Coal India Limited	Software	Smart Automation	Background: CMPDI/CIL subsidiaries play a key role in providing geological and mining information to the Ministry of Coal and responding to parliamentary and high-priority administrative inquiries.
26024	AI-Based Smart Governance and Compliance Monitoring System for Coal Mines	Ministry of Coal	Coal India Limited	Software	Smart Automation	Background: The Indian coal mining sector involves large-scale operations spread across multiple subsidiaries, mine sites, contractors, regulatory bodies, and field offices. Governance-related
26025	Development of an AI-enabled Low Cost Real Time Mine Subsidence Monitoring, Prediction and Early Warning System for Underground Coal Mines in India	Ministry of Coal	Coal India Limited	Hardware	Smart Automation	Background: Surface subsidence caused by underground coal mining poses significant risks to nearby communities, public infrastructure, agricultural land, forest areas, and the surrounding
26026	Development of Mobile (Quadruped)/Handheld Device/System for Real-Time Detection of Narcotics and Explosives across Indian Railways.	Ministry of Railways	Ministry of Railways	Hardware	Blockchain & Cybersecurity	Background: Indian Railways is one of the largest rail networks in the world, serving millions of passengers daily across thousands of stations, platforms, and train coaches. Ensuring the safety and
26027	Al-Powered Automatic Block Planning to Maximize Asset Availability for Train Operations on Indian Railways	Ministry of Railways	Ministry of Railways	Software	Transportation & Logistics	Background: Railway maintenance for fixed infrastructure of Engineering, Traction Distribution, and Signal & Telecommunication departments is currently planned independently. Each department requests
26028	Dynamic Forecast of Expected Time of Arrival (ETA) for Coaching Trains	Ministry of Railways	Ministry of Railways	Software	Smart Automation	Background: Accurate forecasting of the Expected Time of Arrival (ETA) for coaching trains is vital for improving passenger satisfaction and operational efficiency in Indian Railways. Currently, ETA
26029	Automated High-Current Short-Circuit Test System for IEC 60898-1:2015 MCB Compliance.	Ministry of Consumer Affairs, Food & Public Distribution	Department of Consumer Affairs (DoCA)	Hardware	Smart Automation	Background: The safety of electrical installations hinges on reliable Miniature Circuit Breakers (MCBs). IEC 60898-1:2015 mandates rigorous short-circuit breaking capacity tests, crucial for ensuring
26030	Automated Cable Specimen Preparation System for IS 10810 and IS 7098 Compliance.	Ministry of Consumer Affairs, Food & Public Distribution	Department of Consumer Affairs (DoCA)	Hardware	Smart Automation	Background: Accurate and consistent preparation of cable specimens is vital for reliable testing according to Indian Standards like IS 10810 (Parts 2, 7, 33) and IS 7098 (Parts 1 & 2). These tests,
26031	Quality assessment and grading of onions are often subjective and vary across procurement centers, resulting in disputes and inconsistencies.	Ministry of Consumer Affairs, Food & Public Distribution	Department of Consumer Affairs (DoCA)	Software	Smart Automation	Expected Solution: Develop an AI-based mobile application that: • Uses image processing to assess onion quality. • Identifies damaged, rotten, sprouted, or undersized onions. • Estimates Grade A and
26032	Farmers often face long waiting times, lack of information regarding procurement schedules, and uncertainty about procurement status.	Ministry of Consumer Affairs, Food & Public Distribution	Department of Consumer Affairs (DoCA)	Software	Smart Automation	Expected Solution: Develop a platform that: • Enables farmer registration and slot booking. • Provides real-time queue management. • Sends SMS/app notifications. • Tracks procurement and payment
26033	Multiple intermediaries reduce farmers earnings and increase consumer prices.	Ministry of Consumer Affairs, Food & Public Distribution	Department of Consumer Affairs (DoCA)	Software	Agriculture, FoodTech & Rural Development	Expected Solution: Create a digital marketplace that: • Connects farmers/FPOs directly with consumers and bulk buyers. • Provides logistics support. • Uses AI for demand forecasting and route
26034	Software System to check compliance of Packaged Commodities under Legal Metrology(Packaged Commodities) Rules, 2011 by scanning products, images and labels.	Ministry of Consumer Affairs, Food & Public Distribution	Department of Consumer Affairs (DoCA)	Software	Miscellaneous	Background: Packaged commodities are widely sold through retail stores, supermarkets and e-commerce platforms across India. Under the Legal Metrology Act, 2009 and the Legal Metrology(Packaged
26035	Development of a Software Program/Application for Generation of Test Reports for Non-Automatic Weighing Instruments (NAWI) as per OIML Recommendation R- 76	Ministry of Consumer Affairs, Food & Public Distribution	Department of Consumer Affairs (DoCA)	Software	Miscellaneous	Background: Non-Automatic Weighing Instruments (NAWIs), such as electronic weighing scales, platform scales and weighbridges, are widely used in trade, commerce, healthcare, agriculture and industry
26036	Development of an Online Verification System for Weighing and Measuring Instruments	Ministry of Consumer Affairs, Food & Public Distribution	Department of Consumer Affairs (DoCA)	Software	Miscellaneous	Background: Under the Legal Metrology Act, 2009 and the Legal Metrology (General) Rules, 2011, every weighing and measuring instrument used in transaction or protection is required to be periodically
26037	Adaptive Path Planning and Collision Avoidance for Autonomous Vehicles on Unstructured Indian Roads	MathWorks	MathWorks	Software	Smart Vehicles	Background: Most autonomous driving systems are developed for roads with clear lane markings, standard signage, predictable traffic flow, and controlled intersections. Indian roads are often very
26038	Explainable AI for Diabetic Retinopathy Screening in Rural India	MathWorks	MathWorks	Software	MedTech / BioTech / HealthTech	Background: India has over 77 million diabetic adults - the second highest globally. Diabetic Retinopathy (DR) affects ~18% of this population and is a leading cause of preventable blindness. Early
26039	Al-Powered Underground Mine Safety, Monitoring and Rescue System.	Governmcnt of Jharkhand	Department of Higher & Technical Education	Hardware	Smart Automation	Background: Jharkhand's underground coal mines face significant safety challenges, including toxic gas leaks,tunnel collapses, flooding, and poor visibility. During emergencies, rescue teams often
26040	Smart Water Purification and Quality Monitoring System for Rural and Mining-Affected Areas.	Governmcnt of Jharkhand	Department of Higher & Technical Education	Hardware	Clean & Green Technology	Background: Access to safe drinking water remains a significant challenge in many rural and mining-affected regions of Jharkhand. Groundwater and surface water sources are often contaminated by
26041	AR-Based Vocational Training Simulator for Industrial Safety in Jharkhand's Mining & Manufacturing Sector	Governmcnt of Jharkhand	Department of Higher & Technical Education	Software	Smart Education	Background: Jharkhand is lndia's leading mineral-producing state, with coal mines, steel plants, and mica processing units employing hundreds of thousands of workers many of them young tribal
26042	Al-Powered Vernacular Pedagogy and Real-Time Translation Tool for Mother Tongue-Based Primary Education	Governmcnt of Jharkhand	Department of Higher & Technical Education	Software	Smart Education	Background: Jharkhand's PALASH Mother Tongue-Based Multilingual Education (MTB-MLE) programme has demonstrated measurable improvements in foundational literacy among tribal children. However,scaling
26043	A digital platform to crowdsource societal challenges and facilitate collaborative problem solving through universities and industry partnerships	Governmcnt of Jharkhand	Department of Higher & Technical Education	Software	Smart Education	Background: Communities across Jharkhand encounter numerous local challenges related to education,healthcare, agriculture, water management, sanitation, environment, rural livelihoods,accessibility,
26044	Portal for Academia - Industry collaboration for Skill Mapping, Internships and Placement	Ministry of Ayush	All India Institute of Ayurveda	Software	Smart Automation	Background: A significant gap exists between the skills acquired in academic institutions and the competencies expected by industries. Students often struggle to identify the skills required for
26045	IP-SAKTI Sahayak a multilingual, RAG-based (source-cited) AI assistant for Intellectual Property and regulatory guidance in Ayurveda, across national and international regimes.	Ministry of Ayush	All India Institute of Ayurveda	Software	MedTech / BioTech / HealthTech	Background: Ayurveda rests on a vast corpus of codified and community-held traditional knowledge (TK) and on therapeutics derived from plant, microbial and animal sources. Protecting and
26046	AIIA Clinical Trials Dashboard - a real-time, cloud-based, GCP-compliant Clinical Trial Management System (CTMS) for Ayurveda research, with CDISC/FHIR-interoperable data, role-based KPIs, and integrated ethics, regulatory (CTRI / NDCT Rules 2019) and pharma covigilance tracking.	Ministry of Ayush	All India Institute of Ayurveda	Software	MedTech / BioTech / HealthTech	Background: The All India Institute of Ayurveda (AIIA) conducts and coordinates a growing portfolio of clinical research in Ayurveda â€” interventional and observational studies, multi-centre trials
26047	Patient Case-Taking Software	Ministry of Ayush	All India Institute of Ayurveda	Software	MedTech / BioTech / HealthTech	Background: 1.1 The Clinical History-Taking Bottleneck in Indian Hospitals History taking â€” the structured elicitation of a patient's presenting complaints, history of present illness, past medical
26048	iKwath - a pod-based smart Kwatha (Kadha) maker that prepares a fresh, AFI/API-standardized decoction from coarse powder (yavaku?a c?r?a) on demand, in the shortest practical time without altering the decoctions quality or yield	Ministry of Ayush	All India Institute of Ayurveda	Hardware	MedTech / BioTech / HealthTech	Background: Kwatha (kashaya / kadha) is among the most widely used Ayurvedic dosage forms and is most effective when freshly prepared, yet a fresh decoction must be consumed within a few hours, is
26049	Modifications to improve the reliability, efficiency,and lifespan of electrical and electronic equipment and systems in the ambient condition of subzero temperature and low pressure of High Altitude Areas(HAA) and Super High Altitude Areas (SHAA) of Ladakh region.	DRDO	Department of Defence Production /IDEX	Hardware	Smart Automation	• Background: High Altitude Areas (HAA) and Super High Altitude Areas (SHAA) of Ladakh region presents one of the harshest operating environments for electronic equipment and systems because of its
26050	High Altitude Performance Optimization and Robust Design of Anti-Drone System.	DRDO	Department of Defence Production /IDEX	Hardware	Robotics and Drones	• Background: Anti-drone systems are deployed for detection, tracking, identification and neutralization of unauthorized drones threatening strategic, defence and critical infrastructure assets. The
26051	Software Based Model Development for Design of Area Specific Shelter for Thermal Comfort Maintenance.	DRDO	Department of Defence Production /IDEX	Software	Miscellaneous	• Background: The ambient atmospheric condition affects the temperature inside the shelter and makes thermal management necessary for maintenance of temperature in the comfortable range. The existing
26052	To develop an AI/ML-enabled adaptive noise cancellation (ANC) system that effectively suppresses stationary, non-stationary, and impulsive defence noises while maintaining high speech intelligibility and real-time performance on embedded hardware.	DRDO	Department of Defence Production /IDEX	Hardware	Miscellaneous	• Background: In defence and mission-critical communication systems, reliable speech transmission is severely affected by diverse acoustic disturbances such as gunshots, artillery fire, helicopter
26053	Adaptive Variable Resolution 2.5D Lidar Mapping for Dynamic Environment Perception	DRDO	Department of Defence Production /IDEX	Software	Smart Vehicles	• Background: Autonomous navigation depends on the ability of a vehicle to perceive its surroundings with high precision. While 3D Lidar point clouds provide rich spatial data, processing millions of
26054	AI-Enabled Real-Time Digital Twin System for Health Monitoring, Fault Prediction and Mission Reliability Enhancement of Aero Piston Engines used in MALE UAVs.	DRDO	Department of Defence Production /IDEX	Software	Robotics and Drones	• Background: Medium Altitude Long Endurance (MALE) UAV are increasingly being deployed for Long-duration intelligence, surveillance, reconnaissance (ISR). Communication relay maritime surveillance
26055	Smart Scan strategy for Electronic Warfare	DRDO	Department of Defence Production /IDEX	Software	Robotics and Drones	Development of Smart Scan Strategy for Electronic Warfare in the absence of prior reliable intelligence of emitters and their operating characteristics. • Background Detection of hostile
26056	Development of a Real-time Airfare Price Index for India through Automated Web Scraping of Airline and Online Travel Aggregator Portals for Augmentation of the Consumer Price Index (CPI).	MoSPI	Data Informatics & Innovation Division (DIID)	Software	Smart Automation	• Background The Consumer Price Index (CPI) released by the National Statistical Office (NSO), Ministry of Statistics and Programme Implementation (MoSPI), is the primary measure of retail inflation
26057	AI-Powered Automated Underwater Marine Debris and Anomaly Detection System using Side-Scan Sonar Imagery	Ministry of Earth Sciences (MoES)	National Institute of Ocean Technology (NIOT)	Software	Disaster Management	• Background The accumulation of anthropogenic (man-made) debris in marine ecosystems poses a critical threat to global biodiversity. Among the most destructive types of pollution are â€˜ghost
26058	Development of a Low-Power, Real-Time Adaptive Software-Defined Sonar Transmitter Payload for Autonomous Underwater Vehicles (AUVs)	Ministry of Earth Sciences (MoES)	National Institute of Ocean Technology (NIOT)	Hardware	Robotics and Drones	• Background In underwater exploration and marine mapping, Autonomous Underwater Vehicles (AUVs) rely heavily on side-scan sonar systems. The performance of these systems is entirely dependent on the
26059	AI-Enabled Antarctic Sea-Ice, Iceberg Trajectory, and Navigation Decision Support System	Ministry of Earth Sciences (MoES)	National Centre for Polar andOcean Research (NCPOR)	Software	Transportation & Logistics	Develop an AI/ML-enabled decision support platform capable of forecasting Antarctic sea-ice concentration, predicting iceberg trajectories, and identifying safe and fuel-efficient navigation routes
26060	Digital Platform for efficient remote management of Indian Antarctic Research Stations	Ministry of Earth Sciences (MoES)	National Centre for Polar andOcean Research (NCPOR)	Software	Smart Automation	Develop a Digital Twin framework for Maitri and Bharati stations integrating infrastructure, energy, logistics and environmental monitoring for efficient remote management.
26061	AI-Driven Smart Energy Management System for Polar Research Stations	Ministry of Earth Sciences (MoES)	National Centre for Polar andOcean Research (NCPOR)	Software	Clean & Green Technology	Develop an intelligent energy-management system using AI for load forecasting, renewable energy integration and fuel optimization under extreme polar conditions.
26062	Integrated Polar Expedition Logistics and Asset Management System	Ministry of Earth Sciences (MoES)	National Centre for Polar andOcean Research (NCPOR)	Software	Smart Automation	Develop a centralized digital platform for expedition planning, cargo tracking, inventory management, personnel movement and emergency response.
26063	Integrated Polar Science Outreach, Knowledge Repository and Media Dissemination Portal	Ministry of Earth Sciences (MoES)	National Centre for Polar andOcean Research (NCPOR)	Software	Smart Education	Develop a comprehensive outreach portal that archives expedition reports, scientific datasets, publications, photographs, videos and institutional activities while generating content for websites and
26064	Low-Cost Deployable Seafloor Metal Detection Sensor for Ocean Resource Exploration	Ministry of Earth Sciences (MoES)	National Centre for Polar andOcean Research (NCPOR)	Hardware	Robotics and Drones	Design and develop a low-cost deployable ocean-bottom sensor that can be released from a research vessel during surveys to detect and map metal-rich seabed deposits, including polymetallic nodules,
26065	Autonomous Low-Cost Ocean Observation Platform for Polar and Southern Oceans	Ministry of Earth Sciences (MoES)	National Centre for Polar andOcean Research (NCPOR)	Hardware	Robotics and Drones	Design and develop an indigenous, low-cost, autonomous ocean observation platform capable of long-term deployment in harsh polar and Southern Ocean environments for measuring key oceanographic and
26066	OceanEmbed - Satellite Embedding-Based Deep Learning Framework for Reconstruction of Subsurface Ocean Temperature from Surface Satellite Observations.	Ministry of Earth Sciences (MoES)	Indian National Centre for Ocean Information Services (INCOIS) Ocean Valley	Software	Disaster Management	• Background Subsurface ocean temperature is a fundamental variable for understanding ocean circulation,upper-ocean heat content, stratification, climate variability, air-sea interaction and marine
26067	Develop a web-based interactive 3D visualization platform that integrates numerical ocean model outputs and in-situ observations.	Ministry of Earth Sciences (MoES)	Indian National Centre for Ocean Information Services (INCOIS) Ocean Valley	Software	Disaster Management	• Background India's vast Exclusive Economic Zone (EEZ) and coastline demand continuous, high-resolution monitoring of ocean state variables. INCOIS routinely generates and archives large volumes of
26068	WeatherGPT: Conversational AI for Weather Forecasting, Alerts, and Climate Information	Ministry of Earth Sciences (MoES)	India Meteorological Department	Software	Disaster Management	• Background Weather information is often distributed through multiple portals, bulletins, satellite products, and forecast systems, making it difficult for common users, researchers, disaster
26069	National Weather Big Data Analytics Platform	Ministry of Earth Sciences (MoES)	India Meteorological Department	Software	Disaster Management	Design and develop a scalable National Weather Big Data Analytics Platform capable of collecting and processing real-time weather-related information for India from multiple internet-based sources
26070	To develop an Artificial Intelligence (AI) / Machine Learning (ML) based system for identification, classification, and prediction of different tropical cyclone patterns using multi-source satellite data.	Ministry of Earth Sciences (MoES)	India Meteorological Department	Software	Disaster Management	To develop an Artificial Intelligence (AI) / Machine Learning (ML) based system for identification, classification, and prediction of different tropical cyclone patterns using multi-source satellite
26071	AI/ML-Based Integrated heavy rainfall Early Warning and Inundation Prediction System using Satellite, Radar, observational Weather and numerical weather prediction model data.	Ministry of Earth Sciences (MoES)	India Meteorological Department	Software	Disaster Management	AI/ML-Based Integrated heavy rainfall Early Warning and Inundation Prediction System using Satellite, Radar, observational Weather and numerical weather prediction model data.
26072	AIML based Nowcasting of thunderstorm and lightning using atmospheric observation including multiple radars, satellite, lightning and model data.	Ministry of Earth Sciences (MoES)	India Meteorological Department	Software	Disaster Management	AIML based Nowcasting of thunderstorm and lightning using atmospheric observation including multiple radars, satellite, lightning and model data.
26073	AI/ML-Based Intelligent Anomaly Detection for Automatic Weather Stations (AWS)	Ministry of Earth Sciences (MoES)	India Meteorological Department	Software	Disaster Management	• Title SkyGuard AI: Intelligent Real-Time Anomaly Detection System for Temperature, Pressure, and Humidity Sensors in Automatic Weather Stations • Background Automatic Weather Stations (AWS) are
26074	Downscaling of weather forecast from Block level to Panchayat level: Inferring high-resolution plots/ data/ information from low-resolution plot /data /information /variables for agro-meteorological advisory services.	Ministry of Earth Sciences (MoES)	India Meteorological Department	Software	Agriculture, FoodTech & Rural Development	Downscaling of weather forecast from Block level to Panchayat level: Inferring high-resolution plots/ data/ information from low-resolution plot /data /information /variables for agro-meteorological
26075	Participants are invited to design and develop **CAPACITY CONNECT A Digital Capacity Building and Learning Management Portal** to support organizational training, competency development, and knowledge sharing through a centralized web-based platform.	Ministry of Earth Sciences (MoES)	India Meteorological Department	Software	Smart Education	The solution should include secure signup and login functionality with three user roles: Trainee, Trainer, and Admin. Trainees should be able to create professional profiles with qualifications, work
26076	Development of personalized homepage for 'Mausam' mobile application:	Ministry of Earth Sciences (MoES)	India Meteorological Department	Software	Smart Automation	• Health-conscious users Highlight Air Quality Index (AQI), pollen count, UV index, and humidity levels to help users manage allergies, asthma, or skin sensitivity. • Outdoor fitness enthusiasts Show
26077	AI-Driven Hyper-Local Early Warning System for Severe Weather Nowcasting	Ministry of Earth Sciences (MoES)	National Centre for Medium Range Weather Forecasting (NCMRWF)	Software	Disaster Management	• Problem Statement India is highly vulnerable to rapidly intensifying, localized extreme weather events such as cloudbursts, severe thunderstorms, and flash floods. Traditional physics-based
26078	AI-Driven Spatio-Temporal Tracking of Extreme Weather Anomalies in Medium-Range Forecasts	Ministry of Earth Sciences (MoES)	National Centre for Medium Range Weather Forecasting (NCMRWF)	Software	Smart Automation	• Problem Statement Identifying and tracking the exact geographic footprints of extreme weather anomalies (such as severe cyclones, heat domes, or cold waves) within massive global Numerical Weather
26079	AI-Based Forecast Bust Detection for Medium-Range Weather Forecasts	Ministry of Earth Sciences (MoES)	National Centre for Medium Range Weather Forecasting (NCMRWF)	Software	Smart Automation	• Problem Statement Medium-range weather forecasts sometimes show large errors during rapidly evolving systems such as monsoon depressions, heavy rainfall events, western disturbances, cyclones, heat
26080	Regime-Aware AI Post-Processing of Monsoon Rainfall Forecasts	Ministry of Earth Sciences (MoES)	National Centre for Medium Range Weather Forecasting (NCMRWF)	Software	Smart Automation	• Problem Statement Rainfall forecast errors over India vary with weather regimes such as active monsoon, break monsoon, monsoon lows/depressions, orographic rainfall, coastal rainfall and western
26081	Hybrid AI–NWP Multi-Model Forecast Blending System	Ministry of Earth Sciences (MoES)	National Centre for Medium Range Weather Forecasting (NCMRWF)	Software	Disaster Management	• Problem Statement Different forecasting systems perform differently depending on region, season, lead time and weather situation. Physical NWP models, ensemble forecasts and AI/ML weather models
26082	Air Pollution–Weather Coupled Forecasting System (Delhi NCR Focus)	Ministry of Earth Sciences (MoES)	National Centre for Medium Range Weather Forecasting (NCMRWF)	Software	Clean & Green Technology	Traditional Air Quality Index (AQI) forecasting models typically treat meteorology and pollution dispersion as separate entities. However, in highly polluted urban landscapes like Delhi NCR, there is
26083	Extreme Heatwave Early Warning and Human Thermal Stress Index	Ministry of Earth Sciences (MoES)	National Centre for Medium Range Weather Forecasting (NCMRWF)	Software	Disaster Management	In recent years, the frequency, duration, and intensity of heatwaves across India have escalated sharply due to climate change. However, traditional meteorological warnings rely almost exclusively on
26084	Convective scale nowcasting for Thunderstorms, Hail & Cloudbursts (06 hr)	Ministry of Earth Sciences (MoES)	National Centre for Medium Range Weather Forecasting (NCMRWF)	Software	Disaster Management	Convective storms, such as severe thunderstorms, hail, downburst winds, and cloudbursts are among Indiaâ€™s deadliest natural hazards, especially during the pre-monsoon and monsoon seasons.Despite
26085	Urban Flood Nowcasting System (Drainage and Rainfall Coupling)	Ministry of Earth Sciences (MoES)	National Centre for Medium Range Weather Forecasting (NCMRWF)	Software	Disaster Management	Urban flooding in major Indian metros like Mumbai, Delhi, and Chennai has become an annual crisis. Traditional Numerical Weather Prediction (NWP) models fall short because knowing how much rain will
26086	Hyperlocal Monsoon Onset & Break Prediction System (Block/Village Scale)	Ministry of Earth Sciences (MoES)	National Centre for Medium Range Weather Forecasting (NCMRWF)	Software	Agriculture, FoodTech & Rural Development	The Indian Summer Monsoon dictates the economic livelihood of millions of farmers, particularly during the Kharif sowing season. While macro-scale monsoon forecasts across large meteorological
26087	AI-Enabled Cooperative Capacity Building, ERP & Employment Ecosystem	Ministry of Cooperation	National Council for Cooperative Training (NCCT)	Hardware	Smart Education	• Background The National Council for Cooperative Training (NCCT), through VAMNICOM, RICMs, and ICMs, conducts large-scale training programmes for cooperative personnel, PACS members, SHGs, dairy
26088	Multilingual Cooperative Governance & Legal Assistance Chatbot	Ministry of Cooperation	National Council for Cooperative Training (NCCT)	Hardware	Agriculture, FoodTech & Rural Development	• Problem Statement Cooperative members, farmers, and rural stakeholders often lack awareness regarding cooperative laws, government schemes, PACS services, crop insurance schemes, financial
26089	Cooperative Gig Services Platform for Household & Community Services	Ministry of Cooperation	National Council for Cooperative Training (NCCT)	Software	Agriculture, FoodTech & Rural Development	• Background Labour Cooperative Federations and Labour Cooperative Societies possess a large pool of skilled workers such as electricians, plumbers, carpenters, painters, domestic helpers,
26090	AI-Driven Market Linkage and Smart Cataloging Mobile Application for Marginalized Artisans	Ministry of Social Justice and Empowerment (MoSJE)	Department of Social Justice and Empowerment	Software	Heritage & Culture	• Background The government actively supports the socio-economic upliftment of marginalized communities,particularly micro-entrepreneurs, artisans, and weavers. Financial assistance is provided to
26091	AI-Driven Hyper-Local Business Advisory and Financial Structuring Assistant for Rural Micro-Entrepreneurs	Ministry of Social Justice and Empowerment (MoSJE)	Department of Social Justice and Empowerment	Software	Agriculture, FoodTech & Rural Development	• Background The government actively promotes the economic empowerment of marginalized communities by providing concessional credit for income-generating activities. Under various
